Period,CA,NA,TCA,,TDP,CLP,,SP,EP,Is met?,Slack
0.2,7843.009968,14804.229475,22647.239443,4529.4478886,74.586,0.4377604,75.0237604,datapath/genblk1[0].element/add/genblk2.next_layer/add_in_reg[1][7],datapath/y_reg[0][11],-0.24,(VIOLATED)
0.3,7850.191967,14762.999471,22613.191438,6783.9574314,49.7823,0.4371875,50.2194875,datapath/genblk1[2].element/add/genblk2.next_layer/add_in_reg[1][3],datapath/y_reg[2][14],-0.14,(VIOLATED)
0.4,7811.887963,14830.56347,22642.451433,9056.9805732,37.6227,0.4405687,38.0632687,datapath/genblk1[1].element/add/add_in_reg[3][3],datapath/genblk1[1].element/add/genblk2.next_layer/add_in_reg[1][10],-0.04,(VIOLATED)
0.41,7828.379963,14817.795476,22646.175438,9284.93192958,36.7319,0.4395955,37.1714955,datapath/genblk1[2].element/add/add_in_reg[1][7],datapath/genblk1[2].element/add/genblk2.next_layer/add_in_reg[0][10],-0.03,(VIOLATED)
0.42,7739.269964,14580.523517,22319.793481,9374.31326202,34.1795,0.4311832,34.6106832,datapath/genblk1[2].element/add/add_in_reg[1][3],datapath/genblk1[2].element/add/genblk2.next_layer/add_in_reg[0][10],-0.02,(VIOLATED)
0.43,7746.983965,13966.063534,21713.047499,9336.61042457,31.8942,0.4210683,32.3152683,datapath/genblk1[2].element/add/genblk2.next_layer/add_in_reg[1][7],datapath/y_reg[2][13],-0.01,(VIOLATED)
0.44,7517.957963,13488.061551,21006.019513,9242.64858572,30.123,0.406993,30.529993,datapath/genblk1[2].element/add/add_in_reg[3][3],datapath/genblk1[2].element/add/genblk2.next_layer/add_in_reg[1][11],-0.02,(VIOLATED)
0.45,7520.883961,13406.931557,20927.815518,9417.5169831,29.1833,0.405517,29.588817,datapath/genblk1[2].element/add/add_in_reg[3][3],datapath/genblk1[2].element/add/genblk2.next_layer/add_in_reg[1][11],-0.01,(VIOLATED)
0.46,7479.387963,13177.373563,20656.761526,9502.11030196,27.8649,0.4007752,28.2656752,datapath/genblk1[3].element/add/add_in_reg[3][3],datapath/genblk1[3].element/add/genblk2.next_layer/add_in_reg[1][15],-0.01,(VIOLATED)
0.47,7497.209962,13140.133561,20637.343523,9699.55145581,27.3196,0.4010583,27.7206583,datapath/genblk1[0].element/add/add_in_reg[1][3],datapath/genblk1[0].element/add/genblk2.next_layer/add_in_reg[0][13],increase,(VIOLATED:
0.48,7459.437964,12718.523581,20177.961544,9685.42154112,25.2565,0.3924904,25.6489904,datapath/genblk1[2].element/add/add_in_reg[1][1],datapath/genblk1[2].element/add/genblk2.next_layer/add_in_reg[0][11],0,(MET)
0.5,7546.951964,12277.495568,19824.447533,9912.2237665,24.1179,0.3887176,24.5066176,datapath/genblk1[0].element/add/add_in_reg[3][7],datapath/genblk1[0].element/add/genblk2.next_layer/add_in_reg[1][15],0,(MET)
