Bits,Matrix Size,Pipelining,Parallelism,Frequency,Slack,Slack,Comb Area,Buf Area,Non-Comb Area,Total Area,Dyn Power (uW),Leakage Power (uW)
8,8,0,1,1.60000000000000000000,VIOLATED,-0.08,3038.78,159.866,3741.82,6780.61,3064.5000,140.049,
8,8,0,1,1.70000000000000000000,MET,0,3031.07,150.29,3738.63,6769.7,2884.000,139.968,
8,8,0,1,1.69000000000000000000,MET,0,3034,145.768,3737.83,6771.83,2901.2000,140.116,
8,8,0,1,1.68000000000000000000,VIOLATED,-0.02,3036.66,159.068,3739.69,6776.35,2918.6000,139.964,
8,8,0,1,1.80000000000000000000,MET,0,2979.2,130.872,3736.77,6715.97,2717.000,138.357,
8,8,0,1,1.90000000000000000000,MET,0,2924.14,131.138,3732.78,6656.92,2564.7000,136.252,
8,8,0,1,2.00000000000000000000,MET,0,2917.49,128.212,3730.65,6648.14,2435.000,135.957,
8,8,0,1,2.10000000000000000000,MET,0,2897.8,125.552,3729.32,6627.12,2316.3000,135.385,
8,8,0,1,2.20000000000000000000,MET,0.02,2894.35,123.424,3728.26,6622.6,2211.000,135.27,
8,8,0,1,2.30000000000000000000,MET,0.08,2893.55,123.424,3728.26,6621.8,2114.7000,135.228,
8,8,0,1,2.40000000000000000000,MET,0.18,2893.55,123.424,3728.26,6621.8,2026.6000,135.228,
8,8,0,1,2.50000000000000000000,MET,0.28,2893.55,123.424,3728.26,6621.8,1945.6000,135.228,
8,8,0,8,1.60000000000000000000,VIOLATED,-0.04,8416.77,645.316,9163.43,17580.2,7571.1000,367.444,
8,8,0,8,1.70000000000000000000,MET,0,8096.24,518.966,9159.71,17256,7124.4000,356.734,
8,8,0,8,1.69000000000000000000,MET,0,8165.14,533.862,9160.24,17325.4,7167.7000,359.433,
8,8,0,8,1.68000000000000000000,MET,0,8206.1,548.226,9155.19,17361.3,7218.2000,360.276,
8,8,0,8,1.67000000000000000000,VIOLATED,-0.01,8230.31,574.294,9159.44,17389.7,7263.7000,361.414,
8,8,0,8,1.80000000000000000000,MET,0,7732.62,430.654,9139.76,16872.4,6698.000,344.342,
8,8,0,8,1.90000000000000000000,MET,0,7335.22,409.64,9110.23,16445.4,6292.4000,330.385,
8,8,0,8,2.00000000000000000000,MET,0,7261,409.108,9093.48,16354.5,5968.5000,327.621,
8,8,0,8,2.10000000000000000000,MET,0,7200.35,393.414,9088.16,16288.5,5678.4000,325.444,
8,8,0,8,2.20000000000000000000,MET,0.01,7180.14,380.38,9088.16,16268.3,5419.4000,324.922,
8,8,0,8,2.30000000000000000000,MET,0.11,7180.14,380.38,9088.16,16268.3,5183.8000,324.922,
8,8,0,8,2.40000000000000000000,MET,0.21,7180.14,380.38,9088.16,16268.3,4967.8000,324.922,
